Country name;year;Life Ladder;Log GDP per capita;Social support;Healthy life expectancy at birth;Freedom to make life choices;Generosity;Perceptions of corruption;Positive affect;Negative affect
Peru;2006;4,811;8,979;0,875;66,46;0,668;-0,076;0,895;0,675;0,42
Peru;2007;5,214;9,054;0,756;66,72;0,638;-0,082;0,931;0,73;0,361
Peru;2008;5,129;9,134;0,777;66,98;0,638;-0,072;0,896;0,701;0,354
Peru;2009;5,519;9,138;0,799;67,24;0,638;-0,084;0,88;0,758;0,32
Peru;2010;5,613;9,21;0,812;67,5;0,757;-0,066;0,881;0,744;0,33
Peru;2011;5,892;9,263;0,756;67,76;0,773;-0,128;0,824;0,742;0,331
Peru;2012;5,825;9,313;0,764;68,02;0,703;-0,084;0,867;0,705;0,398
Peru;2013;5,783;9,361;0,797;68,28;0,703;-0,071;0,87;0,741;0,39
Peru;2014;5,866;9,374;0,819;68,54;0,722;-0,141;0,878;0,743;0,319
Peru;2015;5,577;9,394;0,798;68,8;0,802;-0,095;0,884;0,744;0,378
Peru;2016;5,701;9,419;0,803;68,975;0,83;-0,139;0,866;0,791;0,338
Peru;2017;5,711;9,429;0,83;69,15;0,827;-0,16;0,895;0,768;0,394
Peru;2018;5,68;9,449;0,845;69,325;0,83;-0,184;0,906;0,783;0,38
Peru;2019;5,999;9,452;0,809;69,5;0,815;-0,135;0,874;0,794;0,375
Peru;2020;4,994;9,323;0,749;69,675;0,806;-0,094;0,912;0,736;0,481
Peru;2021;5,694;9,436;0,819;69,85;0,812;-0,09;0,88;0,784;0,369
Peru;2022;5,892;9,453;0,823;70,025;0,764;-0,18;0,884;0,755;0,378
Peru;2023;5,936;9,459;0,787;70,2;0,757;-0,061;0,919;0,765;0,37
